person_id,player_name,player_type,fg_season,fg_seasons_available,draft_year,draft_round,draft_pick,draft_display_pick,draft_bonus,draft_team,draft_school,draft_rank,draft_position,height,weight,bats,throws,fg_G,fg_AB,fg_PA,fg_H,fg_1B,fg_2B,fg_3B,fg_HR,fg_R,fg_RBI,fg_BB,fg_IBB,fg_SO,fg_HBP,fg_SF,fg_SH,fg_GDP,fg_SB,fg_CS,fg_AVG,fg_BB_pct,fg_K_pct,fg_BB/K,fg_OBP,fg_SLG,fg_OPS,fg_ISO,fg_Spd,fg_BABIP,fg_wRC,fg_wRAA,fg_wOBA,fg_wRC_plus,fg_wBsR,fg_Age,fg_MaxAge,fg_W,fg_L,fg_ERA,fg_GS,fg_CG,fg_SHO,fg_SV,fg_IP,fg_TBF,fg_ER,fg_WP,fg_BK,fg_K_per_nine,fg_BB_per_nine,fg_KBB,fg_HR_per_nine,fg_WHIP,fg_LOB_pct,fg_FIP,fg_ERA_minus_FIP,fg_K_minus_BB_pct,draftability_score,conference_tier,conference,fg_team_abb,school_class,bmi
689950,Liam McGill,hitter,2021,[2021],2021,9,277,277,7500.0,Atlanta Braves,Bryant University,,Catcher,"6' 4""",225,R,R,37.0,138.0,172.0,65.0,46.0,9.0,1.0,9.0,46.0,50.0,22.0,,23.0,6.0,6.0,0.0,3.0,2.0,0.0,0.471014492,0.127906976,0.13372093,0.956521739,0.540697674,0.746376811,1.287074485,0.275362319,5.7712901094,0.5,56.4264126497,31.7735539156,0.5761267979,228.883851801,0.1555675301,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,4.0,America East,BRY,4YR 5S,27.4
700242,Trey Sweeney,hitter,2021,[2021],2021,1,20,20,3000000.0,New York Yankees,Eastern Illinois,55.0,Shortstop,"6' 2""",212,L,R,48.0,170.0,226.0,65.0,39.0,10.0,2.0,14.0,52.0,58.0,46.0,,24.0,7.0,3.0,0.0,6.0,3.0,2.0,0.382352941,0.203539823,0.10619469,1.916666666,0.522123893,0.711764705,1.233888598,0.329411764,5.1437116271,0.377777777,69.6495886018,36.2854463329,0.5308986625,208.7558194677,-0.3445035587,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,4.0,OVC,EIU,4YR JR,27.2
680273,Chris Meyers,hitter,2021,"[2021, 2021]",2021,13,375,375,125000.0,Detroit Tigers,Toledo,,Outfield,"6' 3""",210,L,R,54.0,180.0,230.0,68.0,34.0,18.0,1.0,15.0,50.0,55.0,39.0,,42.0,10.0,1.0,0.0,3.0,10.0,4.0,0.377777777,0.169565217,0.182608695,0.928571428,0.508695652,0.738888888,1.24758454,0.361111111,5.9084038433,0.427419354,71.2032086478,36.9836673962,0.5463609172,208.0776247822,-0.1717600178,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,3.0,MAC,TOL,4YR SR,26.2
680810,Quincy Hamilton,hitter,2021,[2021],2021,5,148,148,47500.0,Houston Astros,Wright State University,,Outfield,"5' 9""",190,L,L,48.0,179.0,241.0,67.0,30.0,18.0,4.0,15.0,78.0,65.0,56.0,,32.0,6.0,0.0,0.0,0.0,20.0,3.0,0.374301675,0.232365145,0.132780082,1.75,0.535269709,0.77094972,1.306219429,0.396648045,8.9545951383,0.393939393,83.4367275915,42.6532602242,0.5563485261,204.5846833964,2.0559206342,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,3.0,Horizon,WRST,4YR 5S,28.1
681297,Colton Cowser,hitter,2021,[2021],2021,1,5,5,4900000.0,Baltimore Orioles,Sam Houston,10.0,Outfielder,"6' 3""",220,L,R,55.0,203.0,253.0,76.0,48.0,10.0,2.0,16.0,61.0,52.0,42.0,,32.0,6.0,2.0,0.0,1.0,17.0,3.0,0.374384236,0.166007905,0.126482213,1.3125,0.490118577,0.679802955,1.169921532,0.305418719,7.294954381,0.382165605,71.0137115058,36.2996389207,0.5235294433,204.567503083,1.5888364241,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,2.0,CUSA,SHSU,4YR JR,27.5
676203,Marcos Castañon,hitter,2021,[2021],2021,12,370,370,125000.0,San Diego Padres,UC Santa Barbara,,Shortstop,"5' 10""",195,R,R,28.0,109.0,130.0,44.0,26.0,10.0,0.0,8.0,31.0,40.0,15.0,,22.0,5.0,1.0,0.0,4.0,3.0,0.0,0.403669724,0.115384615,0.169230769,0.681818181,0.492307692,0.71559633,1.207904022,0.311926606,5.2002924618,0.45,37.4870455306,19.1075567942,0.535586739,203.9613074569,0.7063367427,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,28.0
679788,Jack Rogers,hitter,2021,[2021],2021,9,270,270,127500.0,Cincinnati Reds,Sam Houston,,Outfielder,"6' 0""",205,L,L,55.0,207.0,251.0,76.0,41.0,18.0,1.0,16.0,49.0,55.0,31.0,,58.0,12.0,1.0,0.0,6.0,12.0,6.0,0.367149758,0.123505976,0.231075697,0.534482758,0.474103585,0.695652173,1.169755758,0.328502415,5.5939573747,0.447761194,69.9988120036,35.5591589646,0.5214041369,203.2506306738,-0.9440056281,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,2.0,CUSA,SHSU,4YR SR,27.8
800050,Chase DeLauter,hitter,2022,"[2021, 2021, 2022, 2022]",2022,1,16,16,3750000.0,Cleveland Guardians,James Madison University,18.0,Outfielder,"6' 3""",235,L,L,24.0,87.0,118.0,38.0,21.0,8.0,1.0,8.0,31.0,35.0,28.0,,21.0,2.0,1.0,0.0,2.0,10.0,1.0,0.436781609,0.237288135,0.177966101,1.333333333,0.576271186,0.827586206,1.403857392,0.390804597,7.8238154663,0.508474576,42.2219729524,24.6843001645,0.5949696772,240.7501466303,1.2634208295,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,2.0,Sun Belt,JMU,4YR JR,29.4
687263,Zach Neto,hitter,2022,"[2021, 2021, 2022, 2022]",2022,1,13,13,3500000.0,Los Angeles Angels,Campbell University,17.0,Shortstop,"5' 11""",185,R,R,53.0,199.0,256.0,81.0,41.0,23.0,2.0,15.0,65.0,50.0,39.0,,19.0,11.0,6.0,1.0,4.0,19.0,1.0,0.407035175,0.15234375,0.07421875,2.052631578,0.51372549,0.768844221,1.282569711,0.361809046,8.0481576614,0.385964912,83.6839650604,44.8606465789,0.5513204895,215.5507780726,3.1403149418,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,3.0,CAA,CAM,4YR JR,25.8
702176,Alan Roden,hitter,2022,"[2021, 2022]",2022,3,98,98,497500.0,Toronto Blue Jays,Creighton,175.0,Outfielder,"5' 11""",215,L,R,49.0,194.0,242.0,75.0,44.0,25.0,2.0,4.0,48.0,46.0,29.0,,8.0,15.0,4.0,0.0,4.0,9.0,5.0,0.386597938,0.11983471,0.033057851,3.625,0.491735537,0.597938144,1.089673681,0.211340206,6.2235040404,0.38172043,64.8540927196,27.507501992,0.4941021468,173.6546534935,-1.1449685302,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,2.0,Big East,CREI,4YR SR,30.0
693459,Kyler Fedko,hitter,2021,[2021],2021,12,369,369,125000.0,Minnesota Twins,Connecticut,,Outfielder,"6' 0""",215,R,R,52.0,196.0,234.0,78.0,50.0,14.0,2.0,12.0,57.0,53.0,28.0,,37.0,7.0,2.0,1.0,2.0,7.0,4.0,0.397959183,0.119658119,0.158119658,0.756756756,0.48497854,0.673469387,1.158447927,0.275510204,6.4334501546,0.44295302,64.5057434299,32.3834816672,0.52177549,200.813205205,-1.1137698577,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,4.0,NEC,CONN,,29.2
681234,Charlie Welch,hitter,2021,[2021],2021,19,564,564,125000.0,Seattle Mariners,Arkansas,,Catcher,"5' 11""",205,R,R,28.0,67.0,81.0,26.0,13.0,5.0,0.0,8.0,21.0,25.0,13.0,,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.388059701,0.160493827,0.172839506,0.928571428,0.49382716,0.820895522,1.314722682,0.432835821,2.1388248775,0.4,25.9358107654,12.9171185551,0.5512413883,199.2197860306,-0.1616730317,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,4.0,OVC,LR,4YR SR,28.6
702315,Bennett Hostetler,hitter,2021,[2021],2021,18,539,539,60000.0,Miami Marlins,North Dakota State,,Catcher,"5' 10""",195,R,R,61.0,213.0,272.0,84.0,60.0,13.0,1.0,10.0,52.0,58.0,36.0,,38.0,19.0,3.0,1.0,5.0,19.0,2.0,0.394366197,0.132352941,0.139705882,0.947368421,0.512915129,0.605633802,1.118548931,0.211267605,6.6429984618,0.44047619,76.9979544214,38.077617698,0.516728198,197.8347591613,2.4467479917,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,3.0,Summit League,NDSU,4YR 5S,28.0
682988,Tyler Locklear,hitter,2022,"[2021, 2022]",2022,2,58,58,1276500.0,Seattle Mariners,VCU,98.0,First Base,"6' 2""",210,R,R,62.0,224.0,295.0,90.0,43.0,25.0,2.0,20.0,77.0,78.0,47.0,,25.0,23.0,1.0,0.0,2.0,6.0,2.0,0.401785714,0.159322033,0.084745762,1.88,0.542372881,0.799107142,1.341480023,0.397321428,6.2512356196,0.388888888,102.2027868378,55.7948615747,0.5746473187,220.2270113531,-0.0051874923,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,27.0
684855,Jared Dupere,hitter,2021,[2021],2021,13,386,386,125000.0,San Francisco Giants,Northeastern,,Outfield,"5' 11""",200,L,R,48.0,178.0,219.0,61.0,27.0,11.0,2.0,21.0,60.0,50.0,33.0,,52.0,6.0,2.0,0.0,1.0,14.0,1.0,0.342696629,0.150684931,0.237442922,0.634615384,0.456621004,0.780898876,1.23751988,0.438202247,8.8350592017,0.373831775,64.5112763633,31.2374306013,0.5209100622,193.8798323004,2.0174505119,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,3.0,CAA,NE,4YR JR,27.9
702140,Ruben Ibarra,hitter,2021,[2021],2021,4,119,119,172500.0,Cincinnati Reds,San Jose State,,First Base,"6' 3""",290,R,R,35.0,113.0,149.0,43.0,19.0,9.0,1.0,14.0,30.0,32.0,28.0,,24.0,4.0,4.0,0.0,1.0,0.0,0.0,0.380530973,0.187919463,0.161073825,1.166666666,0.503355704,0.849557522,1.352913226,0.469026549,3.0222431025,0.367088607,49.0811128612,23.5253130491,0.5379038725,192.0546929547,0.2613757197,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,2.0,Mountain West,SJSU,4YR SR,36.2
700939,Bennett Lee,hitter,2023,"[2021, 2022, 2023]",2023,6,170,170,297500.0,Detroit Tigers,Wake Forest,,Catcher,"5' 11""",215,R,R,46.0,142.0,186.0,43.0,33.0,3.0,0.0,7.0,30.0,34.0,32.0,,32.0,5.0,5.0,2.0,4.0,5.0,0.0,0.302816901,0.17204301,0.17204301,1.0,0.434782608,0.471830985,0.906613593,0.169014084,4.6147925598,0.333333333,36.5136696537,3.1729198534,0.4126028328,109.5166421645,0.6319267815,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,1.0,ACC,WAKE,4YR JR,30.0
695039,Jack-Thomas Wold,hitter,2021,[2021],2021,12,352,352,125000.0,New York Mets,UNLV,,Outfield,"5' 10""",220,L,L,33.0,140.0,161.0,60.0,34.0,13.0,1.0,12.0,33.0,43.0,19.0,,14.0,0.0,2.0,0.0,3.0,1.0,0.0,0.428571428,0.118012422,0.086956521,1.357142857,0.490683229,0.792857142,1.283540371,0.364285714,4.2100237335,0.413793103,51.7078609053,24.0938758734,0.5299702431,187.2524405501,0.4716257509,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,31.6
694359,Niko Kavadas,hitter,2021,[2021],2021,11,316,316,250000.0,Boston Red Sox,Notre Dame,135.0,First Base,"5' 11""",235,L,R,46.0,154.0,215.0,47.0,18.0,8.0,0.0,21.0,41.0,62.0,50.0,,53.0,6.0,5.0,0.0,0.0,2.0,0.0,0.305194805,0.232558139,0.246511627,0.943396226,0.479069767,0.766233766,1.245303533,0.461038961,3.0425829792,0.305882352,60.8729453809,28.0981442757,0.5098051598,185.7309375744,0.217655364,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,3.0,MVC,ND,4YR SR,32.8
701864,Griffin Doersching,hitter,2022,"[2021, 2021, 2022]",2022,8,240,240,25000.0,San Diego Padres,Oklahoma State,,First Base,"6' 4""",251,R,R,42.0,159.0,194.0,47.0,18.0,13.0,1.0,15.0,29.0,58.0,29.0,,51.0,3.0,3.0,0.0,1.0,1.0,0.0,0.295597484,0.149484536,0.262886597,0.56862745,0.407216494,0.672955974,1.080172468,0.37735849,3.848758723,0.333333333,45.6140668639,12.8805209347,0.4521766391,139.3496047222,-0.0577243576,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,1.0,Big 12,OKST,4YR 5S,30.5
687284,Thomas Gavello,hitter,2022,"[2021, 2022]",2022,13,406,406,125000.0,San Francisco Giants,Pacific,,Catcher,"5' 9""",191,L,R,50.0,186.0,234.0,46.0,22.0,13.0,0.0,11.0,31.0,31.0,33.0,,58.0,13.0,2.0,0.0,1.0,4.0,2.0,0.247311827,0.141025641,0.247863247,0.568965517,0.393162393,0.494623655,0.887786048,0.247311828,3.3538931647,0.294117647,43.1600532908,10.0214800019,0.4079077608,130.2411329374,-0.1511123106,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,4.0,WCC,PAC,4YR JR,28.2
701648,Aaron Zavala,hitter,2021,[2021],2021,2,38,38,830000.0,Texas Rangers,Oregon,76.0,Outfield,"5' 11""",193,L,R,55.0,199.0,255.0,78.0,52.0,14.0,3.0,9.0,64.0,38.0,50.0,,31.0,6.0,0.0,0.0,3.0,11.0,2.0,0.391959798,0.196078431,0.121568627,1.612903225,0.525490196,0.628140703,1.153630899,0.236180905,7.3806058923,0.433962264,71.9842256729,32.5996126358,0.5187105459,182.7724588916,0.8814932592,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,2.0,Big Ten,ORE,4YR JR,26.9
689070,Spencer Packard,hitter,2021,[2021],2021,9,264,264,25000.0,Seattle Mariners,Campbell University,,Outfield,"5' 11""",210,L,R,55.0,197.0,253.0,73.0,44.0,18.0,0.0,11.0,53.0,67.0,32.0,,24.0,18.0,5.0,1.0,3.0,2.0,1.0,0.370558375,0.126482213,0.09486166,1.333333333,0.488095238,0.629441624,1.117536862,0.258883249,3.6200532431,0.371257485,69.6258793839,31.4582323649,0.5029086963,182.4211991617,-0.0093807385,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,3.0,CAA,CAM,4YR SR,29.3
