role,record_type,section,label,value_num,value_text,player_uid,player_name,bucket_label,bucket_start,bucket_end
hitters,metric,availability,Model diagnostics status,NA,Deterministic component-score export; calibration/ROC can be added once trained model outputs are available.,NA,NA,NA,NA,NA
hitters,metric,component_average,draft_value_score,32.89219946203187,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,reach_score,39.275036209393754,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,impact_score,33.4067866749431,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,contact_score,43.98199875853506,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,risk_score,36.88081936685289,NA,NA,NA,NA,NA,NA
hitters,distribution,score_distribution,draft_value_score,37,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,draft_value_score,82,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,draft_value_score,55,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,draft_value_score,6,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,draft_value_score,0,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,reach_score,24,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,reach_score,78,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,reach_score,56,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,reach_score,22,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,reach_score,0,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,impact_score,45,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,impact_score,74,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,impact_score,48,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,impact_score,11,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,impact_score,2,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,contact_score,25,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,contact_score,48,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,contact_score,68,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,contact_score,39,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,contact_score,0,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,risk_score,33,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,risk_score,70,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,risk_score,56,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,risk_score,21,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,risk_score,0,NA,NA,NA,80-100,80,100
hitters,example,high_score_high_risk_examples,High-risk profile,75.5586592178771,Draft value 1.9,h_800628,"Reynolds, Brady",NA,NA,NA
hitters,example,high_score_high_risk_examples,High-risk profile,68.71508379888269,Draft value 21.2,h_1000242087,"Juarez, Gabe",NA,NA,NA
hitters,example,high_score_high_risk_examples,High-risk profile,66.62011173184358,Draft value 12.2,h_824456,"Conner, Nate",NA,NA,NA
pitchers,metric,availability,Model diagnostics status,NA,Deterministic component-score export; calibration/ROC can be added once trained model outputs are available.,NA,NA,NA,NA,NA
pitchers,metric,component_average,draft_value_score,41.82842167721519,NA,NA,NA,NA,NA,NA
pitchers,metric,component_average,reach_score,45.675764767932485,NA,NA,NA,NA,NA,NA
pitchers,metric,component_average,stuff_score,49.45411392405063,NA,NA,NA,NA,NA,NA
