player_uid,role,sample_size_text,data_completeness_score,match_confidence,positive_driver_1,positive_driver_2,negative_driver_1,negative_driver_2,warning_text
h_829665,hitters,5 plate events / 4 BBE,47.05882352941176,0.95,Impact score 87.2,P90 EV wood-adj 102.2,Whiff rate 10%,Chase rate 42.9%,One-season-only warning: no prior season trend context available.
h_814505,hitters,4 plate events / 4 BBE,35.294117647058826,0.95,Impact score 65.4,P90 EV wood-adj 105.9,Whiff rate 0%,Chase rate 10%,One-season-only warning: no prior season trend context available.
h_822871,hitters,4 plate events / 3 BBE,30.769230769230774,0.95,Impact score 60.1,P90 EV wood-adj 101.8,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_1000328644,hitters,4 plate events / 3 BBE,23.80952380952381,0.95,Impact score 61.5,P90 EV wood-adj 102,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_834598,hitters,4 plate events / 3 BBE,46.15384615384615,0.95,Impact score 59.6,P90 EV wood-adj 102.5,Whiff rate 0%,Chase rate 14.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_10063085,hitters,5 plate events / 4 BBE,28.57142857142857,0.95,Impact score 98.1,P90 EV wood-adj 105.7,Whiff rate 37.5%,Chase rate 50%,One-season-only warning: no prior season trend context available.
h_824009,hitters,50 plate events / 26 BBE,21.76165803108809,0.95,Impact score 53.1,P90 EV wood-adj 100,Whiff rate 21.7%,Chase rate 17.2%,Data completeness warning: review missing critical fields before trusting the board score.
h_831539,hitters,4 plate events / 1 BBE,25,0.95,Impact score 66.7,P90 EV wood-adj 108,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_837510,hitters,3 plate events / 2 BBE,23.076923076923066,0.95,Impact score 64.8,P90 EV wood-adj 104.4,Whiff rate 0%,Chase rate 0%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000462706,hitters,4 plate events / 2 BBE,44.44444444444444,0.95,Impact score 54.2,P90 EV wood-adj 100,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_1000091685,hitters,4 plate events / 3 BBE,33.33333333333334,0.95,Impact score 52.9,P90 EV wood-adj 99.3,Whiff rate 0%,Chase rate 16.7%,One-season-only warning: no prior season trend context available.
h_820842,hitters,2 plate events / 2 BBE,50,0.95,Impact score 59,P90 EV wood-adj 100.3,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_1000187570,hitters,2 plate events / 2 BBE,50,0.95,Impact score 58.3,P90 EV wood-adj 99.8,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_827671,hitters,4 plate events / 3 BBE,35.294117647058826,0.95,Impact score 63.7,P90 EV wood-adj 104.7,Whiff rate 25%,Chase rate 10%,One-season-only warning: no prior season trend context available.
h_1000087044,hitters,4 plate events / 3 BBE,33.33333333333334,0.95,Impact score 47.5,P90 EV wood-adj 96.1,Whiff rate 0%,Chase rate 11.1%,One-season-only warning: no prior season trend context available.
h_804826,hitters,4 plate events / 2 BBE,29.411764705882348,0.95,Impact score 50.8,P90 EV wood-adj 96.2,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_815976,hitters,26 plate events / 7 BBE,10.569105691056919,0.95,Impact score 69.6,P90 EV wood-adj 100.8,Whiff rate 44.4%,Chase rate 20.6%,Data completeness warning: review missing critical fields before trusting the board score.
h_808786,hitters,4 plate events / 4 BBE,60,0.95,Impact score 53.6,P90 EV wood-adj 99.5,Whiff rate 0%,Chase rate 40%,One-season-only warning: no prior season trend context available.
h_812674,hitters,3 plate events / 2 BBE,16.666666666666657,0.95,Impact score 54.7,P90 EV wood-adj 100.2,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_831426,hitters,7 plate events / 3 BBE,21.73913043478261,0.95,Impact score 45.1,P90 EV wood-adj 95.3,Whiff rate 14.3%,Chase rate 18.8%,One-season-only warning: no prior season trend context available.
h_831481,hitters,4 plate events / 3 BBE,25,0.95,Impact score 52.5,P90 EV wood-adj 101.3,Whiff rate 20%,Chase rate 14.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_838741,hitters,41 plate events / 25 BBE,21.42857142857143,0.95,Impact score 39.3,P90 EV wood-adj 100.4,Whiff rate 23.1%,Chase rate 14.9%,One-season-only warning: no prior season trend context available.
h_1000133703,hitters,2 plate events / 2 BBE,60,0.95,Impact score 47.3,P90 EV wood-adj 98.7,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_814963,hitters,4 plate events / 3 BBE,25,0.95,Impact score 54.2,P90 EV wood-adj 101.6,Whiff rate 20%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_831482,hitters,52 plate events / 35 BBE,29.01554404145078,0.95,Impact score 52.1,P90 EV wood-adj 103.4,Whiff rate 33%,Chase rate 28.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_825763,hitters,4 plate events / 3 BBE,35.294117647058826,0.95,Impact score 34.3,P90 EV wood-adj 94.1,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_823374,hitters,5 plate events / 2 BBE,21.05263157894737,0.95,Impact score 52.5,P90 EV wood-adj 97.4,Whiff rate 16.7%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_10121639,hitters,4 plate events / 3 BBE,33.33333333333334,0.95,Impact score 33.9,P90 EV wood-adj 94.1,Whiff rate 0%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_1000314364,hitters,4 plate events / 3 BBE,28.57142857142857,0.95,Impact score 46.7,P90 EV wood-adj 97.1,Whiff rate 16.7%,Chase rate 14.3%,One-season-only warning: no prior season trend context available.
h_815155,hitters,4 plate events / 4 BBE,42.85714285714286,0.95,Impact score 46.9,P90 EV wood-adj 100.2,Whiff rate 25%,Chase rate 14.3%,One-season-only warning: no prior season trend context available.
h_811781,hitters,47 plate events / 25 BBE,18.713450292397653,0.95,Impact score 34.8,P90 EV wood-adj 100.2,Whiff rate 25%,Chase rate 14%,Data completeness warning: review missing critical fields before trusting the board score.
h_828345,hitters,3 plate events / 1 BBE,75,0.95,Impact score 57.7,P90 EV wood-adj 99.4,Whiff rate 0%,Chase rate NA%,One-season-only warning: no prior season trend context available.
h_703494,hitters,5 plate events / 4 BBE,53.333333333333336,0.95,Impact score 41.2,P90 EV wood-adj 100.2,Whiff rate 10%,Chase rate 42.9%,One-season-only warning: no prior season trend context available.
