team_code,school_name,conference
ABI_WIL,Abilene Christian,
AIR_FOR,Air Force,
AKR_ZIP,Akron,
ALA_ANM,Alabama,
ALA_CRI,Alabama,
ALA_HOR,Alabama,
ALA_LIO,Alabama,
ALB_GRE,Albany,
ALB_LIO,Albany,
ALC_BRA,Alcorn State,
APP_MOU,Appalachian State,
ARI_SUN,Arizona,
ARI_WIL,Arizona,
ARK_LIO,Arkansas,
ARK_RAZ,Arkansas,
ARL_MAV,UT Arlington,
ARM_BLA,Army,
ASU_RED,Arizona State,
AUB_PRC,Auburn,
AUB_TIG,Auburn,
AUG_COL,Aug Col,
AUS_GOV,Austin Peay,
AZU_PAC,Azu Pac,
BAL_CAR,Ball State,
BAL_UNI,Ball State,
BAY_BEA,Baylor,
BEL_BRU,Belmont,
BEL_KNI,Belmont,
BET_WIL,Bethune-Cookman,
BGS_FAL,Bgs Fal,
BIN_BEA,Binghamton,
BOC_EAG,Boc Eag,
BRA_BRA,Bradley,
BRO_BEA,Brown,
BRY_BUL,Bryant,
BUC_BIS,Bucknell,
BUT_BUL,Butler,
BYU_COU,BYU,
CAL_AGO,California,
CAL_ANT,California,
CAL_BEA,California,
CAL_FUL,California,
CAL_HIG,California,
CAL_LAN,California,
CAL_MAT,California,
CAL_MUS,California,
CAL_STA,California,
CAL_STA7,California,
CAM_CAM,Campbell,
CAM_CAM2,Campbell,
CAN_GRI,Canisius,
CCU_BLD,Ccu Bld,
CED_UNI,Ced Uni,
CEN_BEA,Central Michigan,
CEN_COL,Central Michigan,
CEN_MIC,Central Michigan,
CHA_BUC,Charleston,
CHA_FOR,Charleston,
CIN_BEA,Cin Bea,
CIT_BUL,The Citadel,
CLE_TIG,Clemson,
CLE_UNI,Clemson,
CMU_MAV,Cmu Mav,
COA_CHA,Coastal Carolina,
COL_CHA,Columbia,
COL_LION,Columbia,
COL_STA2,Columbia,
COP_STA,Cop Sta,
COR_BRE,Cornell,
CRE_BLU,Creighton,
CSD_TRI,Csd Tri,
CSU_BAK,Charleston Southern,
DAL_PAT,Dallas Baptist,
DAR_GRE,Dartmouth,
DAV_UNI,Davidson,
DAV_WIL,Davidson,
DAY_FLY,Dayton,
DEL_BLU,Delaware,
DEL_HOR,Delaware,
DIL_UNI,Dil Uni,
DIL_UNI1,Dil Uni1,
DIX_STE,Dixie State,
DUK_BLU,Duke,ACC
ECU_PIR,Ecu Pir,
EIU_PAN,Eiu Pan,
EKU_COL,Eku Col,
ELO_PHO,Elon,
EMB_(AZ,Emb (Az,
EMU_EAG,Emu Eag,
ETS_BUC,East Tennessee State,SoCon
EVA_ACE,Evansville,
FAI_STA,Fairfield,
FAU_OWL,Florida Atlantic,
FDU_KNI,Fdu Kni,
FGCU,Fgcu,
FLA_GAT,Florida,
FLO_PAN,Flo Pan,
FLO_RAT,Flo Rat,
FLO_SEM,Flo Sem,
FOR_MAS,Fordham,
FOR_RAM,Fordham,
FRE_BUL,Fresno State,
FRE_PAC,Fresno State,
GAR_RUN,Gar Run,
GEO_BUL,Georgetown,
GEO_COL,Georgetown,
GEO_EAG,Georgetown,
GEO_HOY,Georgetown,
GEO_PAN,Georgetown,
