role,record_type,section,label,value_num,value_text,player_uid,player_name,bucket_label,bucket_start,bucket_end
hitters,metric,availability,Model diagnostics status,NA,Deterministic component-score export; calibration/ROC can be added once trained model outputs are available.,NA,NA,NA,NA,NA
hitters,metric,component_average,draft_value_score,43.96070728591434,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,reach_score,47.131462382048944,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,impact_score,42.94869362633103,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,contact_score,56.34409023123928,NA,NA,NA,NA,NA,NA
hitters,metric,component_average,risk_score,33.35779858416248,NA,NA,NA,NA,NA,NA
hitters,distribution,score_distribution,draft_value_score,394,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,draft_value_score,1025,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,draft_value_score,1307,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,draft_value_score,613,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,draft_value_score,97,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,reach_score,558,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,reach_score,809,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,reach_score,895,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,reach_score,872,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,reach_score,291,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,impact_score,667,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,impact_score,903,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,impact_score,944,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,impact_score,700,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,impact_score,211,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,contact_score,456,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,contact_score,646,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,contact_score,633,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,contact_score,843,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,contact_score,858,NA,NA,NA,80-100,80,100
hitters,distribution,score_distribution,risk_score,730,NA,NA,NA,0-20,0,20
hitters,distribution,score_distribution,risk_score,1417,NA,NA,NA,20-40,20,40
hitters,distribution,score_distribution,risk_score,1280,NA,NA,NA,40-60,40,60
hitters,distribution,score_distribution,risk_score,9,NA,NA,NA,60-80,60,80
hitters,distribution,score_distribution,risk_score,0,NA,NA,NA,80-100,80,100
hitters,example,high_score_high_risk_examples,High-risk profile,68.15,Draft value 15,h_827428,Chris Daniels,NA,NA,NA
hitters,example,high_score_high_risk_examples,High-risk profile,65.79182396185138,Draft value 40,h_1000108698,Lane Allen,NA,NA,NA
hitters,example,high_score_high_risk_examples,High-risk profile,60.65,Draft value 40,h_10054523,Ryan Drumm,NA,NA,NA
pitchers,metric,availability,Model diagnostics status,NA,Deterministic component-score export; calibration/ROC can be added once trained model outputs are available.,NA,NA,NA,NA,NA
pitchers,metric,component_average,draft_value_score,44.74025854715195,NA,NA,NA,NA,NA,NA
pitchers,metric,component_average,reach_score,54.22399132923191,NA,NA,NA,NA,NA,NA
pitchers,metric,component_average,stuff_score,42.31664914454857,NA,NA,NA,NA,NA,NA
pitchers,metric,component_average,command_score,61.720264560173966,NA,NA,NA,NA,NA,NA
pitchers,metric,component_average,risk_score,46.545026743795894,NA,NA,NA,NA,NA,NA
pitchers,distribution,score_distribution,draft_value_score,24,NA,NA,NA,0-20,0,20
pitchers,distribution,score_distribution,draft_value_score,237,NA,NA,NA,20-40,20,40
pitchers,distribution,score_distribution,draft_value_score,403,NA,NA,NA,40-60,40,60
pitchers,distribution,score_distribution,draft_value_score,81,NA,NA,NA,60-80,60,80
pitchers,distribution,score_distribution,draft_value_score,0,NA,NA,NA,80-100,80,100
pitchers,distribution,score_distribution,reach_score,34,NA,NA,NA,0-20,0,20
pitchers,distribution,score_distribution,reach_score,138,NA,NA,NA,20-40,20,40
pitchers,distribution,score_distribution,reach_score,268,NA,NA,NA,40-60,40,60
pitchers,distribution,score_distribution,reach_score,256,NA,NA,NA,60-80,60,80
pitchers,distribution,score_distribution,reach_score,49,NA,NA,NA,80-100,80,100
pitchers,distribution,score_distribution,stuff_score,32,NA,NA,NA,0-20,0,20
pitchers,distribution,score_distribution,stuff_score,280,NA,NA,NA,20-40,20,40
pitchers,distribution,score_distribution,stuff_score,403,NA,NA,NA,40-60,40,60
pitchers,distribution,score_distribution,stuff_score,30,NA,NA,NA,60-80,60,80
pitchers,distribution,score_distribution,stuff_score,0,NA,NA,NA,80-100,80,100
pitchers,distribution,score_distribution,command_score,16,NA,NA,NA,0-20,0,20
pitchers,distribution,score_distribution,command_score,112,NA,NA,NA,20-40,20,40
pitchers,distribution,score_distribution,command_score,206,NA,NA,NA,40-60,40,60
pitchers,distribution,score_distribution,command_score,267,NA,NA,NA,60-80,60,80
