player_uid,role,sample_size_text,data_completeness_score,match_confidence,positive_driver_1,positive_driver_2,negative_driver_1,negative_driver_2,warning_text
h_1000079051,hitters,54 plate events / 12 BBE,37.03703703703704,0.95,Impact score 98.5,P90 EV wood-adj 107.7,Whiff rate 3.8%,Chase rate 17.4%,One-season-only warning: no prior season trend context available.
h_831880,hitters,33 plate events / 8 BBE,39.39393939393939,0.95,Impact score 99,P90 EV wood-adj 107,Whiff rate 6.7%,Chase rate 17.6%,One-season-only warning: no prior season trend context available.
h_1000194933,hitters,46 plate events / 10 BBE,36.95652173913043,0.95,Impact score 97.2,P90 EV wood-adj 104.7,Whiff rate 4.3%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_806039,hitters,50 plate events / 12 BBE,30,0.95,Impact score 96.6,P90 EV wood-adj 106.2,Whiff rate 5.3%,Chase rate 16.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_813272,hitters,36 plate events / 6 BBE,30.555555555555557,0.95,Impact score 99,P90 EV wood-adj 107.9,Whiff rate 13.3%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000091685,hitters,56 plate events / 9 BBE,25,0.95,Impact score 97.1,P90 EV wood-adj 104.6,Whiff rate 5.3%,Chase rate 8%,Data completeness warning: review missing critical fields before trusting the board score.
h_815408,hitters,58 plate events / 13 BBE,29.310344827586206,0.95,Impact score 96,P90 EV wood-adj 104.2,Whiff rate 8.7%,Chase rate 16.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_826930,hitters,44 plate events / 8 BBE,31.818181818181827,0.95,Impact score 98.8,P90 EV wood-adj 107.8,Whiff rate 15%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_830740,hitters,59 plate events / 9 BBE,20.33898305084746,0.95,Impact score 98.2,P90 EV wood-adj 105.8,Whiff rate 0%,Chase rate 7.1%,One-season-only warning: no prior season trend context available.
h_1000270400,hitters,44 plate events / 9 BBE,34.09090909090909,0.95,Impact score 91.2,P90 EV wood-adj 102.1,Whiff rate 11.8%,Chase rate 13%,Data completeness warning: review missing critical fields before trusting the board score.
h_801937,hitters,63 plate events / 6 BBE,22.222222222222214,0.95,Impact score 95.5,P90 EV wood-adj 103.6,Whiff rate 9.5%,Chase rate 14.7%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000230988,hitters,42 plate events / 5 BBE,26.19047619047619,0.95,Impact score 96,P90 EV wood-adj 103.9,Whiff rate 13.3%,Chase rate 13.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_831089,hitters,44 plate events / 8 BBE,43.18181818181818,0.95,Impact score 97.3,P90 EV wood-adj 104.8,Whiff rate 14.3%,Chase rate 24%,Data completeness warning: review missing critical fields before trusting the board score.
h_827699,hitters,39 plate events / 12 BBE,38.46153846153846,0.95,Impact score 95.3,P90 EV wood-adj 105.3,Whiff rate 10%,Chase rate 21.1%,One-season-only warning: no prior season trend context available.
h_814832,hitters,40 plate events / 7 BBE,27.5,0.95,Impact score 92,P90 EV wood-adj 102.5,Whiff rate 12.5%,Chase rate 12.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000375158,hitters,25 plate events / 10 BBE,40,0.95,Impact score 92.8,P90 EV wood-adj 102.6,Whiff rate 7.1%,Chase rate 25%,Data completeness warning: review missing critical fields before trusting the board score.
h_10092054,hitters,50 plate events / 9 BBE,24,0.95,Impact score 95.7,P90 EV wood-adj 104.9,Whiff rate 0%,Chase rate 16.1%,One-season-only warning: no prior season trend context available.
h_804854,hitters,33 plate events / 6 BBE,27.272727272727266,0.95,Impact score 98.5,P90 EV wood-adj 106.2,Whiff rate 16.7%,Chase rate 19%,One-season-only warning: no prior season trend context available.
h_702656,hitters,48 plate events / 11 BBE,31.25,0.95,Impact score 90.6,P90 EV wood-adj 102.6,Whiff rate 0%,Chase rate 14.3%,One-season-only warning: no prior season trend context available.
h_823695,hitters,42 plate events / 7 BBE,35.71428571428571,0.95,Impact score 99,P90 EV wood-adj 107.6,Whiff rate 21.1%,Chase rate 15.8%,One-season-only warning: no prior season trend context available.
h_1000240502,hitters,43 plate events / 9 BBE,37.2093023255814,0.95,Impact score 90.3,P90 EV wood-adj 103.4,Whiff rate 10.5%,Chase rate 15%,Data completeness warning: review missing critical fields before trusting the board score.
h_823311,hitters,30 plate events / 9 BBE,43.333333333333336,0.95,Impact score 96.4,P90 EV wood-adj 104.2,Whiff rate 17.6%,Chase rate 21.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_832431,hitters,74 plate events / 15 BBE,37.83783783783784,0.95,Impact score 96.7,P90 EV wood-adj 105.3,Whiff rate 19.5%,Chase rate 17.9%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000438809,hitters,26 plate events / 2 BBE,30.769230769230774,0.95,Impact score 95.4,P90 EV wood-adj 103.6,Whiff rate 18.2%,Chase rate 0%,One-season-only warning: no prior season trend context available.
h_695485,hitters,61 plate events / 7 BBE,29.508196721311478,0.95,Impact score 97.3,P90 EV wood-adj 105.2,Whiff rate 20.8%,Chase rate 10.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000102863,hitters,32 plate events / 5 BBE,21.875,0.95,Impact score 99,P90 EV wood-adj 108.2,Whiff rate 20%,Chase rate 15.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_808905,hitters,40 plate events / 7 BBE,30,0.95,Impact score 92.6,P90 EV wood-adj 104.9,Whiff rate 6.7%,Chase rate 20%,One-season-only warning: no prior season trend context available.
h_1000071763,hitters,60 plate events / 13 BBE,33.33333333333334,0.95,Impact score 94.8,P90 EV wood-adj 103.3,Whiff rate 17.9%,Chase rate 18.2%,One-season-only warning: no prior season trend context available.
h_813842,hitters,33 plate events / 4 BBE,18.181818181818173,0.95,Impact score 98.6,P90 EV wood-adj 106.3,Whiff rate 18.2%,Chase rate 14.3%,One-season-only warning: no prior season trend context available.
h_10148886,hitters,36 plate events / 13 BBE,38.888888888888886,0.95,Impact score 95.4,P90 EV wood-adj 104.8,Whiff rate 10.5%,Chase rate 30%,One-season-only warning: no prior season trend context available.
h_807725,hitters,42 plate events / 8 BBE,21.42857142857143,0.95,Impact score 99,P90 EV wood-adj 106.8,Whiff rate 17.6%,Chase rate 24%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000110953,hitters,37 plate events / 6 BBE,29.729729729729726,0.95,Impact score 87.6,P90 EV wood-adj 101.2,Whiff rate 7.1%,Chase rate 17.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_806053,hitters,64 plate events / 9 BBE,21.875,0.95,Impact score 99,P90 EV wood-adj 109.6,Whiff rate 21.1%,Chase rate 6.2%,One-season-only warning: no prior season trend context available.
h_830787,hitters,37 plate events / 10 BBE,32.432432432432435,0.95,Impact score 93.9,P90 EV wood-adj 102.9,Whiff rate 18.8%,Chase rate 21.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_807461,hitters,62 plate events / 11 BBE,24.19354838709677,0.95,Impact score 96.6,P90 EV wood-adj 104.3,Whiff rate 21.1%,Chase rate 7.9%,One-season-only warning: no prior season trend context available.
h_1000364960,hitters,31 plate events / 6 BBE,29.032258064516128,0.95,Impact score 91.6,P90 EV wood-adj 105.3,Whiff rate 15.4%,Chase rate 23.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_803863,hitters,33 plate events / 12 BBE,42.42424242424242,0.95,Impact score 92.2,P90 EV wood-adj 102.6,Whiff rate 11.1%,Chase rate 27.8%,One-season-only warning: no prior season trend context available.
h_1000138588,hitters,37 plate events / 9 BBE,32.432432432432435,0.95,Impact score 93,P90 EV wood-adj 103.3,Whiff rate 18.8%,Chase rate 20%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000115970,hitters,30 plate events / 8 BBE,30,0.95,Impact score 98.5,P90 EV wood-adj 108.4,Whiff rate 23.1%,Chase rate 21.4%,Data completeness warning: review missing critical fields before trusting the board score.
h_10286482,hitters,31 plate events / 3 BBE,22.58064516129032,0.95,Impact score 94,P90 EV wood-adj 102.9,Whiff rate 18.2%,Chase rate 11.1%,One-season-only warning: no prior season trend context available.
h_804746,hitters,42 plate events / 8 BBE,30.95238095238095,0.95,Impact score 87.9,P90 EV wood-adj 101.2,Whiff rate 18.8%,Chase rate 12.5%,Data completeness warning: review missing critical fields before trusting the board score.
h_800604,hitters,68 plate events / 15 BBE,33.82352941176471,0.95,Impact score 95.5,P90 EV wood-adj 104.1,Whiff rate 21.9%,Chase rate 21.1%,Data completeness warning: review missing critical fields before trusting the board score.
h_800610,hitters,55 plate events / 10 BBE,21.818181818181813,0.95,Impact score 88.7,P90 EV wood-adj 102.7,Whiff rate 12.5%,Chase rate 11.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_822390,hitters,33 plate events / 5 BBE,27.272727272727266,0.95,Impact score 96.3,P90 EV wood-adj 104.1,Whiff rate 14.3%,Chase rate 31.8%,Data completeness warning: review missing critical fields before trusting the board score.
h_1000066576,hitters,51 plate events / 11 BBE,31.372549019607845,0.95,Impact score 88.6,P90 EV wood-adj 101.5,Whiff rate 13.6%,Chase rate 19.2%,One-season-only warning: no prior season trend context available.
h_1000230940,hitters,79 plate events / 10 BBE,21.51898734177216,0.95,Impact score 98.7,P90 EV wood-adj 106.4,Whiff rate 23.1%,Chase rate 14%,One-season-only warning: no prior season trend context available.
h_831025,hitters,39 plate events / 9 BBE,35.8974358974359,0.95,Impact score 98.6,P90 EV wood-adj 106.4,Whiff rate 20%,Chase rate 28.6%,One-season-only warning: no prior season trend context available.
h_823780,hitters,41 plate events / 5 BBE,29.268292682926827,0.95,Impact score 99,P90 EV wood-adj 106.8,Whiff rate 25%,Chase rate 19%,Data completeness warning: review missing critical fields before trusting the board score.
h_689407,hitters,60 plate events / 12 BBE,33.33333333333334,0.95,Impact score 91.7,P90 EV wood-adj 103.4,Whiff rate 15.4%,Chase rate 24.3%,One-season-only warning: no prior season trend context available.
h_813668,hitters,71 plate events / 14 BBE,30.985915492957744,0.95,Impact score 98.2,P90 EV wood-adj 110.8,Whiff rate 22.9%,Chase rate 22.5%,One-season-only warning: no prior season trend context available.
h_838865,hitters,40 plate events / 8 BBE,42.50000000000001,0.95,Impact score 98.5,P90 EV wood-adj 107.4,Whiff rate 17.4%,Chase rate 52%,One-season-only warning: no prior season trend context available.
h_801489,hitters,63 plate events / 14 BBE,36.50793650793651,0.95,Impact score 98.2,P90 EV wood-adj 107.1,Whiff rate 20%,Chase rate 33.3%,Data completeness warning: review missing critical fields before trusting the board score.
h_10111105,hitters,40 plate events / 7 BBE,37.5,0.95,Impact score 94.3,P90 EV wood-adj 103.3,Whiff rate 15.8%,Chase rate 28%,One-season-only warning: no prior season trend context available.
