player_uid,player_name,team_code,school_name,conference,season,bats,throws,class_year,production_rank,draft_value_score,reach_score,impact_score,contact_score,risk_score,plate_events,bbe_count,p90_ev_wood_adj,avg_ev_wood_adj,barrel_rate_proxy_wood_adj,contact_rate,whiff_rate,chase_rate,trend_delta,data_completeness_score,one_season_only_flag,missing_critical_count,export_ts
h_1000079051,Camden Troyer,LIB_FLA,Liberty,CUSA,2025,Left,Unknown,Unknown,1,96.10482955757153,98.60088312112848,98.52105974535417,95.36660396083423,16.47572085596224,54,12,107.7138,95.72542333333335,8.333333333333334,96.15384615384616,3.8461538461538463,17.391304347826086,0,37.03703703703704,TRUE,34,2026-05-08 21:25:59 UTC
h_831880,Connor Maryniak,CHA_FOR,Charlotte,American,2025,Right,Unknown,Unknown,2,95.82429251578566,99,99,95.03717006314267,21.85,33,8,107.00956000000001,93.29814999999999,12.5,93.33333333333333,6.666666666666667,17.647058823529413,0,39.39393939393939,TRUE,20,2026-05-08 21:25:59 UTC
h_1000194933,Owen Washburn,WIC_SHO,Wichita State,American,2026,Left,Unknown,Unknown,3,95.03607530604103,97.2465351455123,97.2465351455123,92.00637820438041,9.004206041883018,46,10,104.71533000000001,93.22663600000001,10,95.65217391304348,4.3478260869565215,20,0,36.95652173913043,FALSE,29,2026-05-08 21:25:59 UTC
h_806039,Drew Burress,GIT_YEL,Georgia Tech,ACC,2026,Right,Unknown,Unknown,4,94.4762681238284,96.37361553876669,96.64636200166751,96.30000000217342,20.15316762240378,50,12,106.24011,87.73973999999998,8.333333333333334,94.73684210526316,5.2631578947368425,16.666666666666668,-1.43459,30,FALSE,35,2026-05-08 21:25:59 UTC
h_813272,Cameron Benson,MIZ_TIG,Missouri,SEC,2026,Left,Unknown,Unknown,5,94.16987581028108,100,99,87.30768539755275,21.570455391071057,36,6,107.9298,92.20592166666665,16.666666666666668,86.66666666666667,13.333333333333334,20,24.286159999999995,30.555555555555557,FALSE,25,2026-05-08 21:25:59 UTC
h_1000091685,AJ Gracia,DUK_BLU,Duke,ACC,2025,Left,Unknown,Unknown,6,93.97971024658237,97.13158633459251,97.13158633459251,99,36.18979504362017,56,9,104.57936000000001,95.42924888888889,11.11111111111111,94.73684210526316,5.2631578947368425,8,0,25,FALSE,42,2026-05-08 21:25:59 UTC
h_815408,Landon Hairston,ARI_SUN,Arizona State,Big 12,2026,Left,Unknown,Unknown,7,93.63415163498718,96.07193594240846,95.96141126825943,95.73523649626891,22.98347108811886,58,13,104.22516,94.50985083333332,7.6923076923076925,91.30434782608695,8.695652173913043,16.666666666666668,-1.8357000000000028,29.310344827586206,FALSE,41,2026-05-08 21:25:59 UTC
h_826930,Brayden Fraasman,NOR_WOL,NC State,ACC,2025,Right,Unknown,Unknown,8,93.22882149316236,98.71451365147149,98.7716109211772,84.3800624249495,19.306279865314853,44,8,107.76055000000001,90.94751375000001,12.5,85,15,20,0,31.818181818181827,FALSE,30,2026-05-08 21:25:59 UTC
h_830740,Will Hodo,ALA_CRI,Alabama,SEC,2025,Left,Unknown,Unknown,9,93.11506146496231,98.1970503037791,98.1970503037791,99,52.8272626287201,59,9,105.83967,94.26014222222221,11.11111111111111,100,0,7.142857142857143,0,20.33898305084746,TRUE,47,2026-05-08 21:25:59 UTC
h_1000270400,JP Peltier,WRI_RAI,Wright State,Horizon,2026,Right,Unknown,Unknown,10,92.85068339624637,100,91.2054324277186,95.55400255279287,16.405334558111527,44,9,102.13294,94.51432666666668,11.11111111111111,88.23529411764706,11.764705882352942,13.043478260869565,5.480800000000002,34.09090909090909,FALSE,29,2026-05-08 21:25:59 UTC
h_801937,Jack Herring,ECU_PIR,East Carolina,American,2026,Right,Unknown,Unknown,11,92.62251847268855,100,95.47221771554504,96.45350783353302,42.269673434672214,63,6,103.61575,93.43216666666666,16.666666666666668,90.47619047619048,9.523809523809524,14.705882352941176,3.1027500000000003,22.222222222222214,FALSE,49,2026-05-08 21:25:59 UTC
h_1000230988,Grayson Fitzwater,VIR_KEY,Virginia Tech,ACC,2026,Left,Unknown,Unknown,12,92.07535595165578,96.03572884844954,96.03572884844954,93.40961777258175,33.03845127826803,42,5,103.91376,98.87331199999998,20,86.66666666666667,13.333333333333334,13.333333333333334,-0.3758100000000013,26.19047619047619,FALSE,31,2026-05-08 21:25:59 UTC
h_831089,Trey Wells,RUT_SCA,Rutgers,Big Ten,2026,Right,Unknown,Unknown,13,92.00867343358124,100,97.31125038766797,79.15219295898903,14.35,44,8,104.79188,93.7869375,12.5,85.71428571428571,14.285714285714286,24,1.648530000000008,43.18181818181818,FALSE,25,2026-05-08 21:25:59 UTC
h_827699,Blake Primrose,STJ_HAW,St. John's,Big East,2026,Right,Unknown,Unknown,14,91.98600099941163,94.89803902778068,95.30701493995612,88.82063596274533,15.971752181979294,39,12,105.3004,86.98194833333332,8.333333333333334,90,10,21.05263157894737,0,38.46153846153846,TRUE,24,2026-05-08 21:25:59 UTC
h_814832,Andrew Cain,ARI_WIL,Arizona,Big 12,2026,Left,Unknown,Unknown,15,91.78952846877864,100,92.04879735202691,94.84506454035105,29.461363423225777,40,7,102.51535,90.04660285714284,14.285714285714286,87.5,12.5,12.5,4.027809999999988,27.5,FALSE,29,2026-05-08 21:25:59 UTC
h_1000375158,TJ Anderson,CIT_BUL,The Citadel,SoCon,2026,Left,Unknown,Unknown,16,91.42571514077203,100,92.75942624738758,83.5240080683129,8.35,25,10,102.58984000000001,95.72878222222224,10,92.85714285714286,7.142857142857143,25,4.083750000000009,40,FALSE,15,2026-05-08 21:25:59 UTC
h_10092054,Cal Sullivan,SOU_RED,Southern,SWAC,2026,Right,Unknown,Unknown,17,91.17413324419611,95.23938253539858,95.67068436201086,96.65055123997053,46.33692380651598,50,9,104.892,87.24543555555556,11.11111111111111,100,0,16.129032258064516,0,24,TRUE,38,2026-05-08 21:25:59 UTC
h_804854,Kameron Douglas,ALA_HOR,Alabama State,SWAC,2025,Right,Unknown,Unknown,18,90.48865041767147,98.48799413902245,98.48799413902245,81.52961852371938,37.597498175252205,33,6,106.18382,102.103235,16.666666666666668,83.33333333333333,16.666666666666668,19.047619047619047,0,27.272727272727266,TRUE,24,2026-05-08 21:25:59 UTC
h_702656,Drew Faurot,FLO_SEM,Florida State,ACC,2025,Right,Unknown,Unknown,19,90.13763369559489,90.21929231337111,90.61864843718166,97.82400913540712,21.825158851905154,48,11,102.5581,87.17264272727273,9.090909090909092,100,0,14.285714285714286,0,31.25,TRUE,33,2026-05-08 21:25:59 UTC
h_823695,Jacob Ference,VIR_CAV,Virginia,ACC,2025,Right,Unknown,Unknown,20,90.05475917955968,99,99,72.3965134252459,22.943691767517834,42,7,107.61458,92.45176285714287,14.285714285714286,78.94736842105263,21.05263157894737,15.789473684210526,0,35.71428571428571,TRUE,27,2026-05-08 21:25:59 UTC
h_1000240502,Cole Prout,CEN_MIC,Central Michigan,MAC,2025,Left,Unknown,Unknown,21,89.84392918652071,89.1226240012544,90.31770795133433,95.58358716496599,14.914775807015463,43,9,103.41787000000001,84.32251666666667,11.11111111111111,89.47368421052632,10.526315789473685,15,0,37.2093023255814,FALSE,27,2026-05-08 21:25:59 UTC
h_823311,Walker Zapp,AIR_FOR,Air Force,Mountain West,2026,Right,Unknown,Unknown,22,89.72494453915074,96.33486075051844,96.39226722543776,75.52038295520902,14.35,30,9,104.22375000000001,90.94264555555554,11.11111111111111,82.3529411764706,17.647058823529413,21.428571428571427,0,43.333333333333336,FALSE,17,2026-05-08 21:25:59 UTC
h_832431,Quinton Coats,CIN_BEA,Cincinnati,Big 12,2026,Right,Unknown,Unknown,23,89.6160654591082,96.85543468202273,96.716133704173,75.42591324067769,18.123383736533995,74,15,105.31725,91.52613733333332,6.666666666666667,80.48780487804878,19.51219512195122,17.857142857142858,-3.7723900000000015,37.83783783783784,FALSE,46,2026-05-08 21:25:59 UTC
h_1000438809,Brody Williams,KS_GF,Kentucky State,SIAC,2026,Right,Unknown,Unknown,24,89.54612967303079,95.35649380918701,95.35649380918701,83.58995215463167,28.68728722517385,26,2,103.55455,97.56979000000001,50,81.81818181818181,18.181818181818183,0,0,30.769230769230774,TRUE,18,2026-05-08 21:25:59 UTC
h_695485,Evan Appelwick,MIA_RED,Miami (OH),MAC,2025,Right,Unknown,Unknown,25,89.3665276668151,97.24292766115536,97.32123812595053,75.1168807704305,23.840435040566177,61,7,105.17422,90.61352857142856,14.285714285714286,79.16666666666667,20.833333333333332,10.81081081081081,0,29.508196721311478,FALSE,43,2026-05-08 21:25:59 UTC
h_1000102863,Kainen Jorge,MUR_RAC,Murray State,MVC,2026,Right,Unknown,Unknown,26,89.25897415833094,100,99,76.1692632102537,42.833416442324776,32,5,108.21473,98.59741,20,80,20,15.384615384615385,16.896370000000005,21.875,FALSE,25,2026-05-08 21:25:59 UTC
h_808905,Zach Yorke,LSU_TIG,LSU,SEC,2026,Left,Unknown,Unknown,27,89.17955588474274,91.45911884515903,92.63970176919652,92.00637820438041,30.06669262240378,40,7,104.85195,84.37711857142858,14.285714285714286,93.33333333333333,6.666666666666667,20,0,30,TRUE,28,2026-05-08 21:25:59 UTC
h_1000071763,Eddie King Jr.,LOU_CAR,Louisville,ACC,2025,Right,Unknown,Unknown,28,89.16742896875657,94.7871397535595,94.7871397535595,79.73256426031271,18.56066911491238,60,13,103.25345,93.85652153846155,15.384615384615385,82.14285714285714,17.857142857142858,18.181818181818183,0,33.33333333333334,TRUE,40,2026-05-08 21:25:59 UTC
h_813842,Chase Call,CAL_ANT,Cal State Northridge,Big West,2025,Right,Unknown,Unknown,29,89.08304403528037,98.61123630755878,98.61123630755878,82.4139612900388,54.78873517898422,33,4,106.3296,91.92038333333335,25,81.81818181818181,18.181818181818183,14.285714285714286,0,18.181818181818173,TRUE,27,2026-05-08 21:25:59 UTC
h_10148886,Adin Zorn,DAY_FLY,Dayton,Atlantic 10,2025,Right,Unknown,Unknown,30,88.46009085223524,95.2144251799024,95.41397684551579,74.13798453800695,15.85,36,13,104.79919,88.00652769230769,7.6923076923076925,89.47368421052632,10.526315789473685,30,0,38.888888888888886,TRUE,22,2026-05-08 21:25:59 UTC
h_807725,Ryan Kucherak,NOR_CAT,North Carolina,ACC,2026,Right,Unknown,Unknown,31,87.92048644476777,100,99,71.10523733136519,43.55822888073524,42,8,106.80809000000001,96.01250428571429,12.5,82.3529411764706,17.647058823529413,24,2.2168300000000016,21.42857142857143,FALSE,33,2026-05-08 21:25:59 UTC
h_1000110953,Drew Smith,ORE_DUC,Oregon,Big Ten,2026,Right,Unknown,Unknown,32,87.85136326732903,90.21884356667856,87.55407591508421,95.36660396083423,23.220365720912625,37,6,101.17679,90.27468333333333,33.333333333333336,92.85714285714286,7.142857142857143,17.391304347826086,1.1058400000000006,29.729729729729726,FALSE,26,2026-05-08 21:25:59 UTC
h_806053,Dean Curley,TEN_VOL,Tennessee,SEC,2025,Right,Unknown,Unknown,33,87.84779870664471,99,99,74.52456140350877,50.333416442324776,64,9,109.61298000000001,96.44557444444443,11.11111111111111,78.94736842105263,21.05263157894737,6.25,0,21.875,TRUE,50,2026-05-08 21:25:59 UTC
h_830787,Grant Watkins,ABI_WIL,Abilene Christian,WAC,2026,Left,Unknown,Unknown,34,87.30334077439106,93.87953302049237,93.87953302049237,73.46772966368752,14.73241406900104,37,10,102.91917000000001,93.44071555555554,10,81.25,18.75,21.05263157894737,-1.0110499999999973,32.432432432432435,FALSE,25,2026-05-08 21:25:59 UTC
h_807461,Kaleb Freeman,GEO_PAN,Georgia State,Sun Belt,2025,Right,Unknown,Unknown,35,87.07561998735434,96.59827637127194,96.55473634812232,74.52456140350877,39.82457630402003,62,11,104.32639,93.1145109090909,9.090909090909092,78.94736842105263,21.05263157894737,7.894736842105263,0,24.19354838709677,TRUE,47,2026-05-08 21:25:59 UTC
h_1000364960,Cole Kosciusko,SAN_GAU,Santa Clara,WCC,2026,Left,Unknown,Unknown,36,87.05159195421567,97.62940867712393,91.59905188749494,77.44788895115506,25.172583966015466,31,6,105.26772,83.36937666666667,16.666666666666668,84.61538461538461,15.384615384615385,23.529411764705884,3.0235899999999987,29.032258064516128,FALSE,22,2026-05-08 21:25:59 UTC
h_803863,Rylan Lujo,GEO_BUL,Georgia,SEC,2026,Right,Unknown,Unknown,37,86.73222802835642,92.2048592887584,92.15424168166903,76.75556946132917,15.85,33,12,102.58707,91.38664363636364,8.333333333333334,88.88888888888889,11.11111111111111,27.77777777777778,0,42.42424242424242,TRUE,19,2026-05-08 21:25:59 UTC
h_1000138588,Carter Bergman,MIS_BEA,Ole Miss,SEC,2025,Right,Unknown,Unknown,38,86.6507467280605,92.58364216743965,93.04744108401117,75.2063782043804,18.204789069001045,37,9,103.31453,87.07608428571429,11.11111111111111,81.25,18.75,20,0,32.432432432432435,FALSE,25,2026-05-08 21:25:59 UTC
h_1000115970,Brayden Bakes,ILL_RED,Illinois State,MVC,2026,Left,Unknown,Unknown,39,86.58778735593135,100,98.48933142918463,58.399163614317644,22.56669262240378,30,8,108.3933,89.83644625,12.5,76.92307692307692,23.076923076923077,21.428571428571427,6.1519699999999915,30,FALSE,21,2026-05-08 21:25:59 UTC
h_10286482,Mark Quatrani,COR_BRE,Cornell,Ivy,2025,Right,Unknown,Unknown,40,86.38508142140536,93.95126366101944,93.95126366101944,83.36163277004641,49.18774516870825,31,3,102.94026000000001,94.15427666666669,33.333333333333336,81.81818181818181,18.181818181818183,11.11111111111111,0,22.58064516129032,TRUE,24,2026-05-08 21:25:59 UTC
h_804746,Derek Williams,MIA_HUR,Miami,ACC,2026,Right,Unknown,Unknown,41,86.36425304623563,96.43979359650245,87.90184359650245,81.55707434291142,20.858857368690547,42,8,101.16163,92.77146375000001,12.5,81.25,18.75,12.5,3.4151800000000065,30.95238095238095,FALSE,29,2026-05-08 21:25:59 UTC
h_800604,Roch Cholowsky,UCLA,UCLA,Big Ten,2025,Right,Unknown,Unknown,42,86.34694984326529,95.63689384072192,95.47724708917332,63.051062997020864,10.636629107570654,68,15,104.12498000000001,95.80483000000001,6.666666666666667,78.125,21.875,21.05263157894737,0,33.82352941176471,FALSE,45,2026-05-08 21:25:59 UTC
h_800610,Roman Martin,UCLA,UCLA,Big Ten,2026,Right,Unknown,Unknown,43,86.32097165631535,87.60998013821354,88.68980531378085,95.06456197873516,36.92566529812248,55,10,102.66325,84.75651,10,87.5,12.5,11.764705882352942,-0.3834799999999916,21.818181818181813,FALSE,43,2026-05-08 21:25:59 UTC
h_822390,Charlie Sutherland,MIN_GOP,Minnesota,Big Ten,2025,Right,Unknown,Unknown,44,86.29261495948393,96.34474193304153,96.34474193304153,68.17523330891197,30.097498175252205,33,5,104.07718,95.39329000000001,20,85.71428571428571,14.285714285714286,31.818181818181817,0,27.272727272727266,FALSE,24,2026-05-08 21:25:59 UTC
h_1000066576,Alvin Keels,LON_LAN,Long Beach State,Big West,2025,Right,Unknown,Unknown,45,86.27089043523665,88.62301675903811,88.61785256624054,87.86700010507188,21.605400639111167,51,11,101.49409,91.24226818181819,9.090909090909092,86.36363636363636,13.636363636363637,19.23076923076923,0,31.372549019607845,TRUE,35,2026-05-08 21:25:59 UTC
h_1000230940,Jared Jones,LSU_TIG,LSU,SEC,2025,Right,Unknown,Unknown,46,86.21461491537326,98.71226986196801,98.71226986196801,66.68622264553088,44.911431424854634,79,10,106.44911,96.93702333333334,10,76.92307692307692,23.076923076923077,14,0,21.51898734177216,TRUE,62,2026-05-08 21:25:59 UTC
h_831025,Dean Toigo,ARI_SUN,Arizona State,Big 12,2026,Left,Unknown,Unknown,47,85.85807435121546,98.63396061466715,98.63396061466715,56.68197387891985,22.878895795148598,39,9,106.35648,93.09397666666666,11.11111111111111,80,20,28.571428571428573,0,35.8974358974359,TRUE,25,2026-05-08 21:25:59 UTC
h_823780,Lucas Steele,AUB_TIG,Auburn,SEC,2025,Right,Unknown,Unknown,48,85.80292268156829,99,99,56.016460623403226,24.511924742825176,41,5,106.7974,98.43387200000001,40,75,25,19.047619047619047,0,29.268292682926827,FALSE,29,2026-05-08 21:25:59 UTC
h_689407,Mitchell Sanford,OLE_REB,Ole Miss,SEC,2025,Left,Unknown,Unknown,49,85.76886004597955,91.05006510041147,91.683309749229565,76.08302323101256,18.56066911491238,60,12,103.3737,86.13749083333333,8.333333333333334,84.61538461538461,15.384615384615385,24.324324324324323,0,33.33333333333334,TRUE,40,2026-05-08 21:25:59 UTC
h_813668,Jack Gurevitch,SAN_TOR,San Diego,WCC,2025,Left,Unknown,Unknown,50,85.7615875425785,98.31579963622025,98.17895956346429,57.292120336983444,22.298722324545714,71,14,110.82253,94.01482071428572,7.142857142857143,77.14285714285714,22.857142857142858,22.5,0,30.985915492957744,TRUE,49,2026-05-08 21:25:59 UTC
h_838865,Drew Barragan,UNL_REB,UNLV,Mountain West,2026,Right,Unknown,Unknown,51,85.7117523835942,98.40892727066765,98.52714181653411,56.12379863064097,21.85,40,8,107.35354000000001,89.98527000000001,12.5,82.6086956521739,17.391304347826086,52,0,42.50000000000001,TRUE,23,2026-05-08 21:25:59 UTC
h_801489,Tyce Armstrong,ARL_MAV,UT Arlington,WAC,2025,Right,Unknown,Unknown,52,85.71155363690723,98.31579963622025,98.17895956346429,51.83765947271391,9.162909220584472,63,14,107.07402,92.23188142857144,7.142857142857143,80,20,33.333333333333336,0,36.50793650793651,FALSE,40,2026-05-08 21:25:59 UTC
h_10111105,Mario Trivella,FLO_PAN,FIU,CUSA,2026,Right,Unknown,Unknown,53,85.68294207934493,94.10784383384092,94.25880763484327,69.03108162861939,22.311931036917784,40,7,103.29339,89.46965857142858,14.285714285714286,84.21052631578948,15.789473684210526,28,0,37.5,TRUE,25,2026-05-08 21:25:59 UTC
h_804253,Isaac Humphrey,OLE_REB,Ole Miss,SEC,2025,Left,Unknown,Unknown,54,85.57150053856346,93.66394582516469,93.77633145887101,75.75742178377826,36.720070931077814,58,6,103.021,90.07704166666667,16.666666666666668,87.5,12.5,27.586206896551722,0,27.58620689655173,TRUE,42,2026-05-08 21:25:59 UTC
h_1000142987,Jamie Palmese,ETS_BUC,East Tennessee State,SoCon,2026,Right,Unknown,Unknown,55,85.47169302210857,96.32115693864769,96.5693348021628,58.417233887845825,14.97572085596224,27,5,105.08854000000001,88.395146,20,81.25,18.75,30.76923076923077,0,37.03703703703704,FALSE,17,2026-05-08 21:25:59 UTC
h_830892,Dawson Park,TEX_BOB,Texas State,Sun Belt,2026,Right,Unknown,Unknown,56,85.24037796066226,100,90.43913458054111,63.42324268156677,8.35,51,11,102.10553,90.22547363636365,9.090909090909092,84.61538461538461,15.384615384615385,34.48275862068966,9.108199999999997,39.21568627450981,FALSE,31,2026-05-08 21:25:59 UTC
h_1000136497,Jack Arcamone,RIC_SPI,Richmond,Atlantic 10,2025,Left,Unknown,Unknown,57,85.2382961584873,97.98004500647089,97.98004500647089,58.48796450460612,28.68728722517385,52,9,105.58298,95.8024125,11.11111111111111,80.76923076923077,19.23076923076923,29.032258064516128,0,30.769230769230774,TRUE,36,2026-05-08 21:25:59 UTC
h_703680,Brandon Compton,ARI_SUN,Arizona State,Big 12,2025,Left,Unknown,Unknown,58,85.02570637975398,98.84637426818684,98.87709941454946,60.97817043917823,43.68979504362017,60,9,107.02951,91.36272222222222,11.11111111111111,75,25,13.043478260869565,0,25,TRUE,45,2026-05-08 21:25:59 UTC
h_1000066717,Wyatt Campbell,JMU_DUK,James Madison,Sun Belt,2026,Right,Unknown,Unknown,59,84.9932502280035,88.31208703721158,89.31279349134152,83.374260866823093,25.847334936759324,34,9,102.75337,85.05442222222223,11.11111111111111,88.23529411764706,11.764705882352942,23.529411764705884,0,32.35294117647058,TRUE,23,2026-05-08 21:25:59 UTC
h_1000220630,Beau Durbin,LAM_CAR,Lamar,Southland,2026,Left,Unknown,Unknown,60,84.94563975524761,100,93.08498608196564,72.46626567727346,47.13419705053567,38,6,102.68556000000001,95.05685400000002,16.666666666666668,78.57142857142857,21.428571428571427,13.043478260869565,8.19219000000001,18.421052631578945,FALSE,31,2026-05-08 21:25:59 UTC
h_1000102535,Collin Priest,CLE_TIG,Clemson,ACC,2025,Left,Unknown,Unknown,61,84.78095167755758,99,99,58.20649906299641,40.206730881915135,57,8,108.16992,92.96185625000001,25,78.26086956521739,21.73913043478261,24.137931034482758,0,26.31578947368422,TRUE,42,2026-05-08 21:25:59 UTC
h_805022,Xavier Esquer,SAN_GAU,Santa Clara,WCC,2025,Right,Unknown,Unknown,62,84.73428553818636,91.83222097729609,92.45075463592879,70.88820904565301,21.71199285515315,64,12,103.74844,86.19288333333334,8.333333333333334,80.76923076923077,19.23076923076923,21.62162162162162,0,28.125,FALSE,46,2026-05-08 21:25:59 UTC
h_828657,Aiden Robbins,SET_PIR,Seton Hall,Big East,2025,Right,Unknown,Unknown,63,84.72162183969071,97.1612325656478,97.28831152948035,62.270190913284345,37.803897947824936,41,6,105.36602,89.84570666666666,16.666666666666668,77.77777777777777,22.22222222222222,20.833333333333332,0,24.390243902439025,FALSE,31,2026-05-08 21:25:59 UTC
h_10050200,Cole Raile,VIR_KEY,Virginia Tech,ACC,2025,Right,Unknown,Unknown,64,84.687946839278,92.68349853558891,92.72268272183479,81.29036227782272,51.668597249922996,57,9,102.62512000000001,91.22954125000001,11.11111111111111,82.6086956521739,17.391304347826086,17.857142857142858,0,21.05263157894737,TRUE,45,2026-05-08 21:25:59 UTC
h_831193,Armani Raygoza,UTR_VAQ,UTRGV,Southland,2026,Left,Unknown,Unknown,65,84.44339079012275,100,99,54.78971153771374,37.5403709430568,49,6,109.08509000000001,96.80207666666666,16.666666666666668,75,25,20,25.34326,24.48979591836735,FALSE,37,2026-05-08 21:25:59 UTC
h_804569,Tre Phelps,GEO_BUL,Georgia,SEC,2025,Right,Unknown,Unknown,66,84.28852282728943,96.41226044682114,96.60918113276479,53.263468596807016,14.35,40,9,104.89315,88.74610333333334,11.11111111111111,80,20,31.818181818181817,0,40,FALSE,24,2026-05-08 21:25:59 UTC
h_806033,Casey Borba,TEX_LON,Texas A&M-Corpus Christi,Southland,2025,Right,Unknown,Unknown,67,84.18461723723135,98.9683748320352,98.9683748320352,51.87234372292068,30.097498175252205,44,9,106.75205,93.76223555555556,11.11111111111111,75,25,21.73913043478261,0,27.272727272727266,FALSE,32,2026-05-08 21:25:59 UTC
h_1000115104,Vicente Feliciano,SEA_RED,Seattle,WAC,2025,Left,Unknown,Unknown,68,84.15335737787636,91.31854513568913,92.03785946443416,66.95916544694798,14.35,27,9,103.32113,86.11397111111111,11.11111111111111,88.23529411764706,11.764705882352942,46.15384615384615,0,48.14814814814815,FALSE,14,2026-05-08 21:25:59 UTC
h_807408,Brylan West,FLO_PAN,FIU,CUSA,2025,Right,Unknown,Unknown,69,84.07321713203321,84.82560231887922,84.74577894310491,96.35916544694798,35.958642809760434,58,12,100.50838,92.64483727272729,8.333333333333334,88.23529411764706,11.764705882352942,9.375,0,22.41379310344827,FALSE,45,2026-05-08 21:25:59 UTC
h_826003,Dariel Osoria,KAN_JAY,Kansas,Big 12,2025,Right,Unknown,Unknown,70,84.0677811417581,96.20372814700029,96.38605345493183,53.55724242020139,15.65488227508231,59,14,104.56016,88.97589615384615,14.285714285714286,75.86206896551724,24.137931034482758,22.22222222222222,0,30.508474576271183,FALSE,41,2026-05-08 21:25:59 UTC
h_813400,Jack Winnay,WAK_DEA,Wake Forest,ACC,2025,Right,Unknown,Unknown,71,84.03885574309356,88.902299354098,88.89590954848359,76.5560325044256,17.7368199577913,70,18,102.15352,88.48341823529412,5.555555555555555,83.33333333333333,16.666666666666668,22.22222222222222,0,34.28571428571429,TRUE,46,2026-05-08 21:25:59 UTC
h_1000253292,Julian Stevens,MAI_BLA,Maine,America East,2026,Right,Unknown,Unknown,72,84.0214909775976,92.74674859784237,92.76705863355485,63.54509804543829,14.35,25,6,102.61597,91.5267,16.666666666666668,85.71428571428571,14.285714285714286,46.666666666666664,0,43.99999999999999,FALSE,14,2026-05-08 21:25:59 UTC
h_1000077151,Robin Villeneuve,TEX_RAI,Texas,SEC,2026,Right,Unknown,Unknown,73,83.94511598574186,90.27404688300521,90.33940565472558,74.07050339647601,23.107244114912397,36,7,101.95518,90.81744285714286,14.285714285714286,80,20,17.647058823529413,-2.4186300000000074,33.33333333333334,FALSE,24,2026-05-08 21:25:59 UTC
h_809995,Victor Izquierdo,NAV_MID,Navy,Patriot,2026,Right,Unknown,Unknown,74,83.79562824267983,88.52377934189731,81.97276199898334,89.80766989285053,17.73615065498808,44,11,100.07391,88.378541,9.090909090909092,88.88888888888889,11.11111111111111,20,2.703319999999991,29.545454545454547,FALSE,31,2026-05-08 21:25:59 UTC
h_823169,Andrew Stucky,UTS_ROA,UTSA,American,2026,Right,Unknown,Unknown,75,83.7124520493775,94.76870334690933,94.76870334690933,63.24670841877723,31.757525654988086,44,9,103.2437,92.39647111111111,11.11111111111111,84.21052631578948,15.789473684210526,33.333333333333336,-3.2085500000000025,29.545454545454547,FALSE,31,2026-05-08 21:25:59 UTC
