player_uid,player_name,role,season,metric_key,metric_label,metric_value
h_1000016801,Thomas Splaine,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),103.03181000000001
h_1000016801,Thomas Splaine,hitters,2025,contact_rate,Contact Rate,62.5
h_1000016801,Thomas Splaine,hitters,2025,chase_rate,Chase Rate,31.818181818181817
h_1000034148,Dillon Baker,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),93.45664000000001
h_1000034148,Dillon Baker,hitters,2025,contact_rate,Contact Rate,75
h_1000034148,Dillon Baker,hitters,2025,chase_rate,Chase Rate,36.36363636363637
h_1000036960,Tyler Kehoe,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),79.69803
h_1000036960,Tyler Kehoe,hitters,2025,contact_rate,Contact Rate,80
h_1000036960,Tyler Kehoe,hitters,2025,chase_rate,Chase Rate,37.5
h_1000038089,Cason Tollett,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),93.4701
h_1000038089,Cason Tollett,hitters,2025,contact_rate,Contact Rate,73.6842105263158
h_1000038089,Cason Tollett,hitters,2025,chase_rate,Chase Rate,37.03703703703704
h_1000047663,Dylan Lina,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),99.48393
h_1000047663,Dylan Lina,hitters,2025,contact_rate,Contact Rate,66.66666666666667
h_1000047663,Dylan Lina,hitters,2025,chase_rate,Chase Rate,60
h_1000047663,Dylan Lina,hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),96.15187
h_1000047663,Dylan Lina,hitters,2026,contact_rate,Contact Rate,43.75
h_1000047663,Dylan Lina,hitters,2026,chase_rate,Chase Rate,28.571428571428573
h_1000048495,Cameron Pittman,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),98.3626
h_1000048495,Cameron Pittman,hitters,2025,contact_rate,Contact Rate,88.23529411764706
h_1000048495,Cameron Pittman,hitters,2025,chase_rate,Chase Rate,16.666666666666668
h_1000050307,Michael Bello,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),89.33415000000001
h_1000050307,Michael Bello,hitters,2025,contact_rate,Contact Rate,55.55555555555556
h_1000050307,Michael Bello,hitters,2025,chase_rate,Chase Rate,35.714285714285715
h_1000050349,Josh Paino,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),102.36575
h_1000050349,Josh Paino,hitters,2025,contact_rate,Contact Rate,72.41379310344827
h_1000050349,Josh Paino,hitters,2025,chase_rate,Chase Rate,18.75
h_1000050392,Kade Higgins,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),78.49124
h_1000050392,Kade Higgins,hitters,2025,contact_rate,Contact Rate,100
h_1000050392,Kade Higgins,hitters,2025,chase_rate,Chase Rate,22.22222222222222
h_1000050656,Drew Wyers,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),105.21853
h_1000050656,Drew Wyers,hitters,2025,contact_rate,Contact Rate,93.33333333333333
h_1000050656,Drew Wyers,hitters,2025,chase_rate,Chase Rate,31.818181818181817
h_1000050917,Jordan Peyton,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),98.24717
h_1000050917,Jordan Peyton,hitters,2025,contact_rate,Contact Rate,95.65217391304348
h_1000050917,Jordan Peyton,hitters,2025,chase_rate,Chase Rate,17.647058823529413
h_1000051099,Jarod Wade,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),87.04813
h_1000051099,Jarod Wade,hitters,2025,contact_rate,Contact Rate,88.88888888888889
h_1000051099,Jarod Wade,hitters,2025,chase_rate,Chase Rate,15.384615384615385
h_1000051267,Lukas Torres,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),96.19205000000001
h_1000051267,Lukas Torres,hitters,2025,contact_rate,Contact Rate,80
h_1000051267,Lukas Torres,hitters,2025,chase_rate,Chase Rate,0
h_1000051267,Lukas Torres,hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),86.27788
h_1000051267,Lukas Torres,hitters,2026,contact_rate,Contact Rate,88.88888888888889
h_1000051267,Lukas Torres,hitters,2026,chase_rate,Chase Rate,30.76923076923077
h_1000051659,Devin Burkes,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),105.58651
h_1000051659,Devin Burkes,hitters,2025,contact_rate,Contact Rate,70.58823529411765
h_1000051659,Devin Burkes,hitters,2025,chase_rate,Chase Rate,35.294117647058826
h_1000052092,Jeffrey Ince,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),99.03318
h_1000052092,Jeffrey Ince,hitters,2025,contact_rate,Contact Rate,68
h_1000052092,Jeffrey Ince,hitters,2025,chase_rate,Chase Rate,20
h_1000052092,Jeffrey Ince,hitters,2026,p90_ev_wood_adj,P90 EV (Wood Adj),82.21664
h_1000052092,Jeffrey Ince,hitters,2026,contact_rate,Contact Rate,77.77777777777777
h_1000052092,Jeffrey Ince,hitters,2026,chase_rate,Chase Rate,34.61538461538461
h_1000052280,Blake Jackson,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),96.4193
h_1000052280,Blake Jackson,hitters,2025,contact_rate,Contact Rate,44.44444444444444
h_1000052280,Blake Jackson,hitters,2025,chase_rate,Chase Rate,11.11111111111111
h_1000052540,Max Imhoff,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),100.21181
h_1000052540,Max Imhoff,hitters,2025,contact_rate,Contact Rate,75
h_1000052540,Max Imhoff,hitters,2025,chase_rate,Chase Rate,13.793103448275861
h_1000060891,Matthew D'Amato,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),98.79213
h_1000060891,Matthew D'Amato,hitters,2025,contact_rate,Contact Rate,78.94736842105263
h_1000060891,Matthew D'Amato,hitters,2025,chase_rate,Chase Rate,37.93103448275862
h_1000061430,DM Jefferson,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),91.79673
h_1000061430,DM Jefferson,hitters,2025,contact_rate,Contact Rate,70
h_1000061430,DM Jefferson,hitters,2025,chase_rate,Chase Rate,20
h_1000061613,Skye Selinsky,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),98.4276
h_1000061613,Skye Selinsky,hitters,2025,contact_rate,Contact Rate,71.42857142857143
h_1000061613,Skye Selinsky,hitters,2025,chase_rate,Chase Rate,20
h_1000061905,Reese Harmon,hitters,2025,p90_ev_wood_adj,P90 EV (Wood Adj),93.6461
